,brand_name,screen_size_cm,screen_size_inch,resolution,screen_type,price,ratings,no_of_ratings,reviews,launch_year
389,Coocaa,80,32,HD Ready,LED,7999,4.2,25833,2989,2024
390,realme,80,32,HD Ready,QLED,9499,4.2,9053,686,2025
391,Foxsky,60,24,HD Ready,LED,5499,4.1,8820,2025,2025
392,Thomson,100,40,Full HD,LED,14499,4.1,126694,21850,2023
393,Samsung,80,32,HD Ready,LED,13990,4.2,104133,6444,2025
394,Coocaa,108,43,Full HD,LED,13499,4.2,25833,2989,2025
395,HUIDI,60,24,HD Ready,LED,4499,4.2,8820,900,2024
396,Foxsky,109,43,Full HD,LED,12499,4.1,8820,2025,2023
397,iFFALCON,80,32,HD Ready,LED,8999,4.1,2709,190,2025
398,Acer,108,43,Ultra HD (4K),LED,21999,4.3,9955,939,2024
399,XIAOMI,80,32,HD Ready,LED,11999,4.3,96782,6489,2024
400,Blaupunkt,108,43,Ultra HD (4K),QLED,20499,4.2,11449,2821,2023
401,XIAOMI,108,43,Full HD,LED,21999,4.2,96782,6489,2025
402,Acer,80.01,32,HD Ready,LED,10999,4.1,9955,939,2024
403,Foxsky,80,32,HD Ready,LED,6999,4.1,8820,2025,2023
404,Thomson,60,24,HD Ready,QLEDQLED,5999,3.9,2629,397,2025
405,Foxsky,109,43,Ultra HD (4K),QLED,16999,4.3,4095,1162,2024
406,Thomson,126,50,Ultra HD (4K),LED,23999,4.5,40692,9599,2023
407,iFFALCON,108,43,Ultra HD (4K),LED,19999,4.3,2731,247,2025
408,Foxsky,80,32,HD Ready,QLED,7499,3.9,4095,1162,2024
409,Thomson,80,32,HD Ready,LED,6999,4.1,30898,4899,2025
410,realme,109,43,Ultra HD (4K),QLED,19999,4.2,2515,279,2025
411,Infinix,80,32,HD Ready,LED,7999,4.2,58660,5830,2024
412,InnoQ,60,24,HD Ready,LED,4990,4.4,8565,937,2024
413,Coocaa,80,32,HD Ready,LED,7999,4.2,25833,2989,2024
414,realme,80,32,HD Ready,QLED,9499,4.3,9053,686,2025
415,Foxsky,60,24,HD Ready,LED,5499,4.2,8820,2025,2025
416,Thomson,100,40,Full HD,LED,14499,4.2,126694,21850,2023
417,Samsung,80,32,HD Ready,LED,13990,4.3,104133,6444,2025
418,Coocaa,108,43,Full HD,LED,13499,4.2,25833,2989,2025
419,HUIDI,60,24,HD Ready,LED,4499,4.2,8820,900,2024
420,Foxsky,109,43,Full HD,LED,12499,4.4,8820,2025,2023
421,iFFALCON,80,32,HD Ready,LED,8999,4.2,2709,190,2025
422,Acer,108,43,Ultra HD (4K),LED,21999,4.2,9955,939,2024
423,XIAOMI,80,32,HD Ready,LED,11999,4.2,96782,6489,2024
424,Blaupunkt,108,43,Ultra HD (4K),QLED,20499,4.2,11449,2821,2023
425,XIAOMI,108,43,Full HD,LED,21999,4.2,96782,6489,2025
426,Acer,80.01,32,HD Ready,LED,10999,4.2,9955,939,2024
427,Foxsky,80,32,HD Ready,LED,6999,4.2,8820,2025,2023
428,Thomson,60,24,HD Ready,QLEDQLED,5999,4.2,2629,397,2025
429,Foxsky,109,43,Ultra HD (4K),QLED,16999,4.2,4095,1162,2024
430,Thomson,126,50,Ultra HD (4K),LED,23999,4.1,40692,9599,2023
431,iFFALCON,108,43,Ultra HD (4K),LED,19999,4.1,2731,247,2025
432,Foxsky,80,32,HD Ready,QLED,7499,4.2,4095,1162,2024
433,Thomson,80,32,HD Ready,LED,6999,4.2,30898,4899,2025
434,realme,109,43,Ultra HD (4K),QLED,19999,4.2,2515,279,2025
435,Infinix,80,32,HD Ready,LED,7999,4.1,58660,5830,2024
436,InnoQ,60,24,HD Ready,LED,4990,4.1,8565,937,2024
437,Coocaa,80,32,HD Ready,LED,7999,4.3,25833,2989,2024
438,realme,80,32,HD Ready,QLED,9499,4.3,9053,686,2025
439,Foxsky,60,24,HD Ready,LED,5499,4.2,8820,2025,2025
440,Thomson,100,40,Full HD,LED,14499,4.2,126694,21850,2023
441,Samsung,80,32,HD Ready,LED,13990,4.1,104133,6444,2025
442,Coocaa,108,43,Full HD,LED,13499,4.1,25833,2989,2025
443,HUIDI,60,24,HD Ready,LED,4499,3.9,8820,900,2024
444,Foxsky,109,43,Full HD,LED,12499,4.3,8820,2025,2023
445,iFFALCON,80,32,HD Ready,LED,8999,4.5,2709,190,2025
446,Acer,108,43,Ultra HD (4K),LED,21999,4.3,9955,939,2024
447,XIAOMI,80,32,HD Ready,LED,11999,3.9,96782,6489,2024
448,Blaupunkt,108,43,Ultra HD (4K),QLED,20499,4.1,11449,2821,2023
449,XIAOMI,108,43,Full HD,LED,21999,4.2,96782,6489,2025
450,Acer,80.01,32,HD Ready,LED,10999,4.2,9955,939,2024
451,Foxsky,80,32,HD Ready,LED,6999,4.4,8820,2025,2023
452,Thomson,60,24,HD Ready,QLEDQLED,5999,4.2,2629,397,2025
453,Foxsky,109,43,Ultra HD (4K),QLED,16999,4.3,4095,1162,2024
454,Thomson,126,50,Ultra HD (4K),LED,23999,4.2,40692,9599,2023
455,iFFALCON,108,43,Ultra HD (4K),LED,19999,4.2,2731,247,2025
